	H1f_1	H1f_2	H2f_1	H2f_2	H3f_1	H3f_2	H4m_1	H4m_2	H5m_1	H5m_2	H6m_1	H6m_2	P1f_1	P1f_2	P1f_3	P1f_4	P2f_1s	P2f_2s	P2f_3s	P2f_4s	P3m_1	P3m_2	P3m_3	P3m_4	P4m_1	P4m_2	P4m_3	P4m_4	P5m_1	P5m_2	P5m_3	P5m_4	P6m_1	P6m_2	P6m_3	P6m_4	P7m_1	P7m_2	P7m_3	P7m_4	P8m_1	P8m_2	P8m_3	P8m_4	P9m_1	P9m_2	P9m_3	P9m_4	P10m_1	P10m_2	P10m_3	P10m_4
H6m_2	0.932771327077	0.938321811034	0.933213321332	0.936345066743	0.907948779899	0.90289781393	0.791462561232	0.777762693456	0.790902066834	0.79257934734	0.337332333583	0.0	0.767765458739	0.729556842816	0.729172073709	0.741311331776	0.871237577751	0.895481094374	0.795402679014	0.847572743468	0.924690921936	0.880632759816	0.788019623031	0.890849976777	0.903484859648	0.905518636232	0.868800242682	0.895404356908	0.96819599787	0.96171103799	0.976110681447	0.971294155171	0.719959327711	0.759185425995	0.874107984381	0.71617774477	0.971080987139	0.941786443528	0.82952012736	0.820941657007	0.960771907624	0.95987576597	0.978472922973	0.940610764299	0.948542024014	0.949230129005	0.938577894918	0.93301001677	0.976457461646	0.957646079401	0.968793807521	0.971565445835
P1f_1	0.357249626308	0.631344520406	0.264062149847	0.276938098028	0.704500236855	0.763528831937	0.95965076703	0.944519340454	0.792098804529	0.854417304654	0.772128851541	0.767765458739	0.0	0.0633468938305	0.491435355306	0.380016277468	0.349852434825	0.287872069995	0.443214809279	0.509873036515	0.987278849751	0.986288624455	0.91978449566	0.972780248428	0.966348540851	0.971083813458	0.949830890643	0.962913464751	0.952986381873	0.946111792926	0.960718917917	0.961860193039	0.910402858083	0.909574723115	0.920754328112	0.893877945153	0.993558266012	0.986048559141	0.981009080975	0.978739358652	0.947552040935	0.949110341896	0.95050468199	0.969375419745	0.987215909091	0.982816782627	0.977007315854	0.970169440583	0.996708038614	0.992344256089	0.990553885788	0.995427526292
P1f_2	0.392040849408	0.654334192231	0.301587301587	0.313258393509	0.722408475258	0.777272516357	0.95829850469	0.946756217453	0.807035403235	0.864575304455	0.733342275578	0.729556842816	0.0633468938305	0.0	0.465978874969	0.353449573885	0.370741957442	0.309871195714	0.461137309293	0.471751838266	0.993790686029	0.995756848999	0.937109869996	0.977619308832	0.973179286156	0.976295844143	0.958212725646	0.967740257037	0.963076273869	0.948819513212	0.969401787761	0.965678797124	0.916126741812	0.92485758206	0.93197542213	0.90470122423	0.991782178218	0.985126006755	0.981151079137	0.979191041284	0.962836556693	0.961868231047	0.964759699554	0.970079674521	0.987221665951	0.982306133544	0.976792160908	0.966712102733	0.994945240101	0.990652712311	0.987939879399	0.993495761582
P1f_3	0.559080442966	0.697256385998	0.595703125	0.579980372915	0.751037675607	0.80153490675	0.94756183162	0.934486914601	0.792385647768	0.86644780498	0.703131729527	0.729172073709	0.491435355306	0.465978874969	0.0	0.305304803299	0.585787136042	0.610397861132	0.544339744417	0.650509713406	0.992849260649	0.98941190955	0.930476825609	0.977489177489	0.965478186019	0.968671679198	0.955362906945	0.9619247626	0.945016864575	0.943855157279	0.966827233451	0.955420369754	0.913160712161	0.918155061888	0.923353601096	0.904047367994	0.94957395674	0.959912775936	0.957749712974	0.952286132923	0.93463866818	0.952775192279	0.939191839937	0.933564171835	0.94513483811	0.979666637577	0.939197780603	0.912704904623	0.997956480605	0.985064396262	0.982173686112	0.996921928925
P1f_4	0.384094613231	0.651094743215	0.426781002639	0.403193077836	0.711801701813	0.765718131129	0.988454322413	0.986666666667	0.87065487275	0.920796793778	0.720437504299	0.741311331776	0.380016277468	0.353449573885	0.305304803299	0.0	0.371648205314	0.426350269326	0.454323995128	0.583146753511	0.994277688186	0.99359923573	0.960311284047	0.984585307166	0.996137546269	0.995664128596	0.99200175304	0.991446513642	0.983965734995	0.981995661605	0.985273870099	0.986597762508	0.977142332584	0.980627953769	0.98383696416	0.970036747385	0.895131856269	0.97736728241	0.961483014823	0.942980375243	0.983401084011	0.97879983511	0.988797169811	0.940916451486	0.915653119747	0.90187827158	0.892899960037	0.95341122701	0.998782238072	0.998517725532	0.998509895227	0.997890061077
P2f_1s	0.384358043327	0.648598314056	0.305418012199	0.316355192689	0.701071782401	0.738614046573	0.954887921756	0.933765086841	0.831398436907	0.876585346934	0.902077151335	0.871237577751	0.349852434825	0.370741957442	0.585787136042	0.371648205314	0.0	0.085521229994	0.311634387627	0.565890691659	0.99323403181	0.969512478505	0.923280673541	0.96983075791	0.980544139832	0.978557504873	0.973561265661	0.977327595256	0.974032884585	0.962674797603	0.983802857639	0.967236545545	0.889042871832	0.894684097845	0.920405774483	0.884904622157	0.875118542551	0.931824860417	0.887678668355	0.885303151428	0.972777959987	0.965837271537	0.973207159959	0.836199906107	0.855247981546	0.836954355192	0.855256893044	0.831487027749	0.94638388123	0.933893602477	0.926372580133	0.975258175559
P2f_2s	0.415588440381	0.669691804487	0.330956706544	0.350878445936	0.717384831341	0.753536956234	0.957657021877	0.940419644916	0.850547702541	0.883703758399	0.92170289738	0.895481094374	0.287872069995	0.309871195714	0.610397861132	0.426350269326	0.085521229994	0.0	0.340862643864	0.522065712266	0.992419935569	0.97134092901	0.925952327913	0.969876768599	0.98479976615	0.980477953551	0.978747703461	0.981922680159	0.975617038217	0.964280442804	0.984830554061	0.969426490202	0.896755660696	0.901100791194	0.922410235246	0.89546103587	0.881432186709	0.93416849358	0.893565553943	0.892221779019	0.974281777823	0.968196756069	0.974847439639	0.843777795747	0.862602324635	0.846333816855	0.861919200197	0.83788254756	0.949272449554	0.945743542717	0.940154109589	0.976979140488
P2f_3s	0.435753772598	0.68382969336	0.483787461418	0.472757406256	0.718069236114	0.751765551656	0.929242488362	0.928101399991	0.826548796254	0.872058194266	0.848168687533	0.795402679014	0.443214809279	0.461137309293	0.544339744417	0.454323995128	0.311634387627	0.340862643864	0.0	0.494554928073	0.990301821807	0.967448902347	0.912489851728	0.966984817092	0.97169986967	0.974166858194	0.957055505522	0.965001172883	0.962952408093	0.956021237607	0.973501125435	0.959123802073	0.871701177426	0.89245890807	0.913990775313	0.904524492085	0.764800861141	0.749209438093	0.689925073588	0.682726294759	0.962928727803	0.956820016142	0.964247841236	0.758134827962	0.846547314578	0.896547091227	0.82889134206	0.775939147261	0.946663570212	0.881312200516	0.868739205527	0.97189852779
P2f_4s	0.703440753594	0.846884580509	0.639930090733	0.658576451582	0.866251039069	0.884482029598	0.984941733816	0.976974252635	0.933157330885	0.951370485715	0.834047147742	0.847572743468	0.509873036515	0.471751838266	0.650509713406	0.583146753511	0.565890691659	0.522065712266	0.494554928073	0.0	0.998556398871	0.994138854336	0.978578714723	0.99378460843	0.997651594036	0.996960887949	0.996424581006	0.996219533891	0.993423848614	0.992255652484	0.995370477535	0.992427162453	0.964666652859	0.96431779723	0.977681071998	0.963077825741	0.905808613898	0.708034877346	0.823526116267	0.860429540468	0.992716250452	0.991489753203	0.994661266568	0.906616678488	0.949445657292	0.975338175808	0.941204072057	0.9079568128	0.974903513912	0.965145816513	0.963061016031	0.989978879252
P3m_1	0.994762439207	0.997873955961	0.993025407444	0.995963359727	0.987838321211	0.989692084049	0.994701986755	0.991467316776	0.985804290613	0.992477432297	0.983709035802	0.924690921936	0.987278849751	0.993790686029	0.992849260649	0.994277688186	0.99323403181	0.992419935569	0.990301821807	0.998556398871	0.0	0.39127045986	0.57012153489	0.588952922685	0.998149518875	0.998237885463	0.988439306358	0.997325692455	0.982710092481	0.990390159523	0.978662053057	0.992680695334	0.985964912281	0.987705925744	0.987434554974	0.992239329077	0.988095238095	0.994407425036	0.993196294152	0.990952955368	0.966480446927	0.967948717949	0.974751544453	0.992093216812	0.989411933038	0.988478156505	0.992460146489	0.994673959983	0.99938499385	0.999095022624	0.999271667881	0.997904881626
